         82855265 function calls (80522673 primitive calls) in 312.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.117    1.117 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1636(_get_texture_pack_list)
        1    0.000    0.000    1.117    1.117 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1005(texturepacks_list)
        3    0.000    0.000    1.117    0.372 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:306(_texturepacks)
        1    0.037    0.037    1.106    1.106 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:200(__init__)
        9    0.006    0.001    1.099    0.122 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:705(_check_save_corruption_lightweight)
191800/157545    0.077    0.000    1.067    0.000 {built-in method builtins.hash}
        1    0.001    0.001    1.056    1.056 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:728(on_savepath_changed)
     7736    0.013    0.000    1.002    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\genericpath.py:84(getsize)
    65693    0.083    0.000    0.984    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:186(__hash__)
  5025243    0.911    0.000    0.977    0.000 {built-in method builtins.isinstance}
  1284198    0.959    0.000    0.959    0.000 {built-in method _winapi.LCMapStringEx}
        4    0.001    0.000    0.929    0.232 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:93(__init__)
     8259    0.032    0.000    0.915    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\file.py:466(from_path)
     8022    0.090    0.000    0.910    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\dialogs\asyncloader.py:289(_on_progress)
        4    0.042    0.011    0.897    0.224 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\uic\qtpy\widgets\resource_list.py:17(setupUi)
      941    0.014    0.000    0.892    0.001 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\git.py:698(on_mouse_moved)
    42283    0.078    0.000    0.891    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:174(_str_normcase)
       12    0.000    0.000    0.863    0.072 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:1136(resource)
   621574    0.441    0.000    0.833    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\fnmatch.py:64(fnmatchcase)
  4587906    0.827    0.000    0.832    0.000 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd_file_utils.py:342(normcase)
